,question,translated_question
3646,"J'ai de la fievre, est-ce que j'ai le covid19?","I have fever, do I have covid19?"
3648,Combien de temps reste-t-on contagieux lorsque nous attrapons la COVID?,How long is it contagious when we catch COVID?
3650,Comment differencier entre le covid et la grippe ? ,How to differentiate between covid and flu? 
3651,la maladie de vaquez est-elle classe comme déficience immunitaire ,is vaquez disease classified as an immune deficiency 
3652,Est-ce qu'on peut continuer à aller à notre chalet?,Can we keep going to our chalet?
3654,Quels sont les meilleures méthodes pour désinfecter les vêtements ? ,What are the best methods to disinfect clothes? 
3655,Comment le COVID-19 entre dans les cellules?,How does COVID-19 enter cells?
3656,"Si mes parents reviennent de voyage et qu'ils doivent être en quarantaine, est-ce que moi je dois quitter la maison ?","If my parents come back from a trip and they have to be quarantined, do I have to leave the house?"
3657,combien de temps vit le covid-19 sur les surfaces,how long does covid-19 live on surfaces
3658,Que faire si j'ai une fièvre ?,What if I have a fever?
3659,c'est quoi la différence entre le SARS et le covid?,what is the difference between SARS and covid?
3660,est ce que le fait d'atrapper le covid 19 nous immunisera à vie?,Will catching Covid 19 immunize us for life?
3661,Est-ce que le virsu se transmet par voie aérienne?,Is virsu transmitted by air?
3663,Peut-on être porteur du virus et ne jamais développé de symptômes?,Can you carry the virus and never develop symptoms?
3664,detection,detection
3665,Comment puis-je bénéficier des résultats de cette étude que vous faites ?,How can I benefit from the results of this study that you are doing?
3666,quelle est la mortalité ?,what is the mortality?
3667,statistiques sur corona,corona stats
3670,Dans combien de temps je pourrai sortir de chez moi?,How long will it take before I can get out of my house?
3671,Comment être certain que je n'ai pas contracté la maladie,How can I be sure that I have not contracted the disease
3673,Quelle est la météo ,What's the weather 
3675,J ai des symptômes et je vis en famille.que faire ?,I have symptoms and I live with my family. What to do?
3676,Est-ce que je peux avoir le COVID-19 à plusieurs reprises?,Can I have COVID-19 more than once?
3678,combien de personnes sont malades ? ,how many people are sick?
3679,"Pour une personne qui ressent des symptômes de rhume ou de grippe et qui voudrait prendre des médicaments pour traiter ces symptômes, il y a-t-il des médicaments contrindiqués?","For a person who is experiencing cold or flu symptoms and who would like to take medication to treat these symptoms, are there any contraindicated medications?"
3682,A partir de quelle température il faut être alarmé ? ,From what temperature should you be alarmed? 
3686,"J'ai de la toux, est-ce que j'ai le covid?","I have a cough, do I have the covid?"
3690,Les symptômes ?,Symptoms ?
3691,"Je tousse mais sans fièvre, qu'est ce que je dois faire?","I cough but without fever, what should I do?"
3692,Quels sont mes risques d'attraper le virus si je vais me promener dehors?,What are my risks of getting the virus if I go for a walk outside?
3693,expliquez moi le virus,explain the virus to me
3697,Quels sont les symptômes ?,What are the symptoms ?
3699,Est-ce que le Corona virus peut etre transmis par le service a l'auto? Sur les sacs et/ou tasse de café ?,Can Corona virus be transmitted through auto service? On the bags and / or cup of coffee?
3704,Pour une personne qui ressent des symptômes ,For a person experiencing symptoms 
3705,"en tant qu'entreprise, quelle information pouvons-nous transmettre à nos employés afin de les rassurer et de les soutenir","as a company, what information can we pass on to our employees in order to reassure and support them"
3706,est-ce qu'un mal de gorge seul est un symptôme?,is a sore throat alone a symptom?
3707,Les symptômes de covid-19 sont ils différents pour les femmes enceintes ?,Are the symptoms of covid-19 different for pregnant women?
3708,"Bonjour, pouvez-vous m’indiquer la clinique covid la plus proche pour les testes ","Hello, can you tell me the nearest covid clinic for testing "
3711,"Si j'ai des symptômes de toux, quel symptôme additionnel dois-je surveiller ?","If I have cough symptoms, what additional symptom should I watch for?"
3717,Que prendre pour diminuer la fièvre et la douleur ,What to Take to Reduce Fever and Pain 
3718,Est-ce que je peux aller faire mes courses au dépaneur',Can I go shopping at the convenience store '
3721,Est ce que les tests de dépistade du covid 19 teste la présence du virus ou des anticorps?,Does covid 19 screening test test for the presence of virus or antibodies?
3726,Comment prévenir le COVID-19?,How to prevent COVID-19?
3728,Quand puis-je retourner travailler après la disparition des symptômes?,When can I return to work after the symptoms disappear?
3730,que signifie covid 19,what does covid 19 mean
3731,"Mes parents sont médicamentés, est-ce qu'il est possible que les pharmacies connaissent des pénuries de médicaments?","My parents are on medication, is it possible that pharmacies are experiencing drug shortages?"
3734,"Je n'ai pas voyager, est-ce que ca se peut que j'ai le covid?","I did not travel, is it possible that I have the covid?"
3735,comment puis-je savoir si le coronavirus n'est pas une invention de l'homme ?,how do i know if the coronavirus is not a human invention?
3738,"Si nous sommes en santé, est-ce qu'on devrais mettre des masques pour aller à l'épicerie?","If we are healthy, should we put on masks to go to the grocery store?"
3742,Quels sont les symptômes du coronavirus?,What are the symptoms of coronavirus?
3744,Quelle est la différence entre les symptômes de la grippe et du COVID-19?,What is the difference between flu symptoms and COVID-19?
3745,Est-ce que c'est contagieux?,Is it contagious?
3747,j'ai une amie qui a les symptômes et qui ne veut pas passer le test. Que puis-je faire?,I have a friend who has symptoms and does not want to take the test. What can I do?
3749,Est-ce que les animaux peuvent transporter le virus?,Can animals carry the virus?
3750,Est ce que le vomissement est un symptome de Covid-19 ? ,Is vomiting a symptom of Covid-19? 
3754,comment je peux vérifier si j'ai COVID-19,how i can check if i have COVID-19
3756,Pourquoi la SAQ et la SQDC sont-elles considérées comme service essentiel.,Why are the SAQ and the SQDC considered an essential service.
3758,Comment identifier la maladie chez les bébés ?,How to identify the disease in babies?
3759,Comment le coronavirus se transmet,How Coronavirus Is Transmitted
3760,dois-je m'isoler si je suis en contact avec une personne qui a été en contacte avec une personne infecté?,should i isolate myself if i am in contact with a person who has been in contact with an infected person?
3763,Qu'arrive-t'il pour les familles qui ont une garde partagée ?,What happens to families with shared custody?
3765,Est ce que le coronavirus est transmissible par l'air ,Is the coronavirus airborne 
3767, E matin je sens comme si j avais un rhume. Mal un peu partout  mais pas de fièvre. Je suis à 38 f  je me demande si je devrais aller travailler, E morning I feel like I have a cold. Sore everywhere but no fever. I'm at 38 f i wonder if i should go to work
3768,Bonjour,Hello
3770,Est-ce que la proposition de Serge Godin de CGI est accepté ?,Is the CGI Serge Godin proposal accepted?
3776,Le mois de Mai annonce t'il un retour à la normale,May announces a return to normal
3777,Je n’ai pas de symptômes. Est-ce que je peux sortir de la maison pour faire des courses?,I have no symptoms. Can I get out of the house to go shopping?
3778,"Si mon conjoint/ma conjointe est infecté/infectée, quelle est le pourcentage de probabilité que je sois moi-même infecté?","If my spouse is infected, what is the percentage chance that I will be infected myself?"
3779,Que faire si je contracte la covid pour alléger les symptomes?,What should I do if I take covid to relieve symptoms?
3782,Quel genre de précaution devrai-je prendre quand je vais à l’épicerie? ,What kind of precautions should I take when I go to the grocery store? 
3784,Quelle est la période d'incubation du virus?,What is the incubation period of the virus?
3785,Mon conjoint est diabéthique et se pique à l'insuline....dois-je rester à la maison pour éviter le risque de le contaminer?,My partner is diabetic and injects insulin .... should I stay at home to avoid the risk of contaminating him?
3786,Quels sont les chances que le coronavirus fasse un retour à l'automne?,What are the chances that the coronavirus will return in the fall?
3789,La santé publique recommande un isolement de 14 jours potentiellement à risque. Or nous apprenons que le Covid-19 est susceptible de mutations. Ce délai est-il valable pour les formes mutantes du virus?,Public health recommends isolation for 14 days potentially at risk. Now we learn that the Covid-19 is susceptible to mutations. Is this period valid for mutant forms of the virus?
3790,Est-ce que tout type de masque protège du virus?,Does any type of mask protect against the virus?
3797,Comment faire la différence entre le Covid-19 et un rhume?,How to tell the difference between Covid-19 and a cold?
3799,pensez-vous que nous avons atteint le pic de la pandémie,do you think we have reached the peak of the pandemic
3801,Comment peut-on minimiser les risques de contamination si un membre de la famille continue de travailler à l'extérieur?,How can the risks of contamination be minimized if a family member continues to work outside?
3802,Quelle est la procédure pour traiter les achats et denrées provenant des magasins?,What is the procedure for processing purchases and food from stores?
3803,Est-ce que l'alimentation ou d'autres facteurs externes peuvent influencer les symptômes ou la virulence du virus?,Can diet or other external factors influence the symptoms or virulence of the virus?
3804,Que dois-je faire dans les lieux comme l’épicerie ou la pharmacie pour éviter d’attraper le virus?,What should I do in places like the grocery store or pharmacy to avoid catching the virus?
3806,Et chimio il y a 5 ans. J’ai peut être eu une légère fièvre mais je suis sur tylenol alors pas sur  j’en prends aussi parce que l’arthrose ,And chemo 5 years ago. I may have had a slight fever but I am on tylenol so not on I also take it because osteoarthritis
3807,où appeler si j'ai des symptômes?,where to call if i have symptoms?
3808,Quelle est la situation au Québec à propos de la COVID-19?,What is the situation in Quebec regarding COVID-19?
3810,Quels sont les symptomes du covid,What are the symptoms of covid
3813,Quels sont les risques que le Covid mutte?,What are the risks that the Covid mutates?
3816,Je travaille en succursale et je suis en congé depuis 2 jours. Ce matin je me suis levée avec un mal de gorge qui ressemble à une amydalite.  Est-ce que je me présente au travail demain matin,I work in a branch and I have been on leave for 2 days. This morning I got up with a sore throat that looks like amydalitis. Do i show up for work tomorrow morning
3817,quelle est la vitesse de contamination du covid-19?,what is the rate of contamination of covid-19?
3818,"Faut-il désinfecter tous les produits qui rentrent à la maison et si oui, de quelle façon? ","Should all products coming home be disinfected and if so, how? "
3819,Comment savoir si je suis porteur du virus?,How do I know if I have the virus?
3821,Dois je faire un test de depistage,Should i do a screening test
3822,"Une fois être allé faire mes emplettes à l'épicerie, dois-je laver mes légumes, mes fruits, mes conserves et mes sacs de nourriture? Et si oui, de quelle façon?","Once I have gone to the grocery store, should I wash my vegetables, fruit, canned food and my food bags? And if so, how?"
3823,Quels sont les symptômes du Covid?,What are the symptoms of Covid?
3825,Est-ce que le lavage régulier permet d'éliminer le virus?,Does regular washing get rid of the virus?
3826,"Je suis allergique au Tylenol, que devrais-je prendre?","I am allergic to Tylenol, what should I take?"
3828,Quels sont les symptômes sur les,What are the symptoms on
3831,Est-ce que je peux être infecté à plus d'une reprise ?,Can I get infected more than once?
3833,Est ce que je devrais continuer d'allaiter,Should i continue breastfeeding
3834,Comment un virus - comme le SARS par exemple - disparaît-il de l'environnement? Dans quelles circonstances et à quelles conditions est-il enrayé?,How does a virus - like SARS for example - disappear from the environment? Under what circumstances and under what conditions is it stopped?
3838,Quels sont les symptômes du Covid-19,What are the symptoms of Covid-19
3839,"Je ressens une légère pression inhabituelle dans mes poumons, je tousse un peu et j’ai mal à la gorge. Pas de fièvre. Est-ce que ça peut être du reflux gastrique et non la covid-19?","I feel an unusual light pressure in my lungs, I cough a little and my throat hurts. No fever. Can it be gastric reflux and not covid-19?"
3841,"Si je crois avoir le virus, est-ce que je dois absolument me rendre en clinique?","If I think I have the virus, do I have to go to the clinic?"
3842,Est-ce que la tempêrature affecte le temps de survit du virus sur les surfaces?,Does temperature affect how long the virus survives on surfaces?
3844,Comment puis-je avoir une aide financière ?,How can I get financial help?
3848,Que faire en cas de symptôme de Coronavirus?,What to do in case of symptoms of Coronavirus?
3852,Est-ce que le virus se transmet dans l'air?,Does the virus spread through the air?
3855,"Avec les nouvelles mesures annoncées cet après-midi et venant en exécution ce soir à minuit, les voyageurs mis en quarantaine pourront-ils aller prendre des marches en respectant la distanciation sociale?","With the new measures announced this afternoon and coming into effect this evening at midnight, will travelers in quarantine be able to go for walks while respecting social distancing?"
3856,Est-ce que le virus peut se transmettre dans l'air?,Can the virus spread through the air?
3858,De quelle manière est-ce que je peux minimiser la transmission?,How can I minimize the transmission?
3859,Quels sont les symptômes de la covid19?,What are the symptoms of covid19?
3861,Où peut-on se faire dépister ?,Where can you get tested?
3862,Est-ce que le virus est dangereux pour les animaux de compagnie?,Is the virus dangerous for pets?
3863,y a--t-il une façon de limiter les risques quand on reçoit une commande D'épicerie?,Is there a way to limit the risks when I receive a Grocery order?
3864,quels sont les symptomes du covid,what are the symptoms of covid
3866,"À part se laver les mains et rester à l'abri, que pouvons-nous faire pour nous protéger du virus?","Besides washing your hands and staying safe, what can we do to protect ourselves from the virus?"
3868,Quelle précautions devrais-je prendre lorsque j'irai faire changer mes pneus d'hiver pour des pneus d'été au garage?,What precautions should I take when I change my winter tires for summer tires at the garage?
3869,Est-ce que les animaux de compagnie peuvent être porteur du virus?,Can pets be carriers of the virus?
3876,Est-ce que le virus se transmet dans l’air? ,Does the virus spread through the air? 
3878,Est-ce que les maux de ventre ou la diarhée sont des symptômes supplémentaires?,Are stomach aches or diarrhea additional symptoms?
3880,Y a-t-il bien deux souches du COVID-19 actuellement en propagation dans le monde?,Are there really two strains of COVID-19 currently spreading around the world?
3886,Est-ce que ça augmente les risques de faire  une promenade en milieu urbain?,Does this increase the risk of taking an urban walk?
3887,Quelle précautions doit-on prendre avec les items d'une épicerie qu'on rapporte chez soi?,What precautions should you take with items from a grocery store that you take home?
3890,Quelle est mon risque de développer des complications si je fais de l'asthme ?,What is my risk of developing complications if I have asthma?
3891,Quelle est la probabilité qu'un autre virus - comme le COVID-19 - apparaisse dans les prochains mois ou les prochaines années?,What is the probability that another virus - like COVID-19 - will appear in the coming months or years?
3892,Quel est le traitement pour le coronavirus?,What is the treatment for coronavirus?
3893,"Si une personne pense avoir attrapé le virus COVID-19, que doit-elle faire pour se rassurer?","If someone thinks they have caught the COVID-19 virus, what should they do to reassure themselves?"
3894,"Bonjour, je crois souffrire d'un streptocoque car j'ai un mal de gorge, des tâches blanches et la luette très inflammé, est-il possible d'avoir un diagnostic en ligne afin d'avoir une prescription d'antibiotiques en considérant que j'ai une allergie à la pénicilline?","Hello, I think I suffer from a streptococcus because I have a sore throat, white spots and a very inflamed uvula, is it possible to have a diagnosis online in order to have a prescription for antibiotics considering that do I have a penicillin allergy?"
3902,Peu-on être en contact avec le virus par la poste ou les circulaires que je reçois par un postier dans ma boîte aux lettres. Y a-t-il des précautions à prendre?,Can we be in contact with the virus by post or circulars that I receive by a postman in my mailbox. Are there any precautions to take?
3903,Comment me protéger se,How to protect myself
3905,Est-ce que le savon détruit le virus?,Does soap destroy the virus?
3907,quelles sont les meilleures précautions à prendre concernant l’habillement en extérieur pendant la crise?,what are the best precautions to take regarding outdoor clothing during the crisis?
3908,Est-ce que le virus peut survivre sur les objets et les emballages à l’épicerie?,Can the virus survive on items and packaging at the grocery store?
3909,Où trouver de l’aide pour les prestations du gouvernement en terme d’allocation de revenus?,Where can I find help for government benefits in terms of income allowance?
3910,Si je n'ai plus de symptômes suis-je encore contagieux?,"If I have no more symptoms, am I still contagious?"
3911,Les dispositions du gouvernement en matière d’allocation financière concernent-elles les étudiants étrangers?,Do the government's financial allocation provisions concern foreign students?
3915,Quels sont les symptômes du Covid-19?,What are the symptoms of Covid-19?
3917,Est-ce que le COVID s'attrape plus d'une fois?,Does COVID catch more than once?
3918,Est-ce que je dois m’isoler si je reviens d’un autre province,Do I have to isolate myself if I come from another province
3920,"Les animaux de compagnies (chat, chien, reptiles) peuvent-ils attraper le virus et nous le transmettre ? ","Can pets (cats, dogs, reptiles) catch the virus and transmit it to us? "
3921,Quels produits nettoyants sont efficaces pour les surfaces?,What cleaning products are effective for surfaces?
3927,quels sont les top 100 des pays touchés en Afrique à la date du 24 mars?,What are the top 100 affected countries in Africa as of March 24?
3930,Est ce que mon bébé naissant est à risque?,Is my newborn baby at risk?
3934,Combien de temps le virus demeure-t-il sur les surfaces?,How long does the virus stay on surfaces?
3937,Comment doit-on se protéger de colis qui nous parviennent de l'extérieur?,How should we protect ourselves from packages arriving from outside?
3938,Comment effectuer mes courses sans mettre à risque ma famille,How to do my shopping without putting my family at risk
3939,Quels sont les symptômes communs ?,What are the common symptoms?
3941,Les cadavres des victimes du COVID-19 sont-ils encore porteur du virus et pour combien de temps?,Are the bodies of COVID-19 victims still carrying the virus and for how long?
3942,Quels sont les symptômes pour les enfants vs adultes?,What are the symptoms for children vs adults?
3947,Les gens qui rentrent de voyage peuvent-ils sortir prendre des marches pendant leurs 14 jours d'isolement? ,Can people returning from travel go out for walks during their 14 days of isolation? 
3948,Est-ce que je peux être contagieux avant de m'en rendre compte?,Can I be contagious before I know it?
3949,Est-ce que le mal de gorge est un symptôme du covid-19?,Is sore throat a symptom of covid-19?
3950,Quels sont les symptômes du coronavirus?,What are the symptoms of coronavirus?
3951,"J’ai mal à mon épaule lorsque je respire, est-ce un symptôme? ","My shoulder hurts when I breathe, is this a symptom? "
3952,Est-ce que les gants sont une bonne protection?,Are gloves good protection?
3953,Combien de temps peut rester le virus sur un vêtement ? ,How long can the virus stay on a garment? 
3954,Comment me protéger de la COVID-19?,How can I protect myself from COVID-19?
3955,Le 2000 dollars c eet pour les gems aux chomages aussi  qui ont droit ,The 2000 dollars this is for the unemployed gems also who are entitled 
3957,No question ,No question 
3959,Quels sont les chances d'avoir des complications?,What are the chances of having complications?
3961,Alors mis à part d’avoir eu un deuxième cancer et. Jimio ,So apart from having had a second cancer and. Jimio
3965,Quelle est la meilleure façon de laver ses mains?,What is the best way to wash your hands?
3966,Suis-je immunisé si j'ai déjà attrapé le covid ?,Am I immune if I have already caught covid?
3968,Est-ce que la quarantaine est obligatoire?,Is quarantine mandatory?
3971,Quel est le traitement pour en guérir ,What is the treatment to cure it 
3972,"j'ai mal à la gorge, est-ce un symptôme de la covid?","I have a sore throat, is this a symptom of covid?"
3975,"une collègue de travail de ma femme, qui travaille dans un hopital,  a testé positif pour le coronavirus. quelle procédures devons-nous adopter?","a co-worker of my wife, who works in a hospital, tested positive for the coronavirus. what procedures should we adopt?"
3978,Quelles mesures dois-je prendre pour maximiser mes chances de ne pas contracter la maladie?,What steps should I take to maximize my chances of not getting the disease?
3983,"Si je suis contaminée, je pourrai être malade durant combien de temps?","If I am infected, how long can I be sick?"
3984,Apres combien de jour pour un porteur de virus asymptotique commence à sentir les premiers symptomes,After how many days for an asymptotic virus carrier begins to feel the first symptoms
3987,Est-ce que je vais attraper le virus?,Am I going to get the virus?
3988,Comment les personnes avec de l  hypertension sont elles plus agffectées?,How are people with hypertension more affected?
3989,Qu’est-ce que la covid  19?,What is covid 19?
3990,Pendant combien de temps en moyenne une personne peut-elle demeure a symptomatique alors que le virus est déjà en elle?,How long on average can a person remain symptomatic when the virus is already in them?
3991,Est-ce que c'est vrai que la chaleur comme printemps été va faire calmer les virus?,Is it true that heat like spring summer will calm viruses?
3992,Comment faire la différence entre la covid et une simple grippe?,How to tell the difference between covid and a simple flu?
3993,Quels sont les premiers symptômes du COVID 19?,What are the first symptoms of COVID 19?
3994,Est-ce que le virus résiste au froid de l'hiver du Québec?,Does the virus resist the cold winter of Quebec?
3996,dans quel hopital dois-je aller pour me faire tester?,Which hospital should I go to get tested?
4003,quelles sont les évidences en faveur de l'utilisation de l'hydroxychloroquine pour le traitement de la COVID-19?,what is the evidence for the use of hydroxychloroquine for the treatment of COVID-19?
4004,"Je crois avoir les symptômes du coronavirus, que faire ?","I think I have symptoms of coronavirus, what should I do?"
4008,Que faire en cas d'insuffisance respiratoire ?,What to do in case of respiratory failure?
4010,Quels sont les symptomes du covid?,What are the symptoms of covid?
4011,J’ai la toux,I have a cough
4013,J'eternue et j'ai mal à la gorge. Ai-je le Coronavirus?,I sneeze and my throat hurts. Do I have Coronavirus?
4014,Comment se faire tester pour le coronavirus?,How to get tested for coronavirus?
4016,Est-ce qu'une grippe normale donne un résultat positif pour le Covid-19?,Does normal flu give a positive result for Covid-19?
4017,Est-ce que vous parler anglais?,Do you speak english?
4018,Quels sont les symptômes les plus fréquents chez les enfants?,What are the most common symptoms in children?
4021,Où puis je me faire tester ?,Where can I get tested?
4022,Pourquoi si sérieux?,Why so serious?
4023,Comment puis-je savoir si j’ai contracté le covid19?,How do I know if I have covid19?
4027,Quand appeler les secours en cas d'insuffisance respiratoire ?,When to call for help in case of respiratory failure?
4033,J'ai juste un rhume. Pourrait il s'agir du coronavirus ?,I just have a cold. Could it be coronavirus?
4036,comment je peux faire un test covid-19,how i can do a covid-19 test
4037,Est-ce que c’est comme une grippe?,Is it like the flu?
4041,Puis-je côtoyer d'autre gens après 14 jours de quarantaine si ces gens ont eux aussi été en quarantaine?,Can I meet other people after 14 days of quarantine if these people have also been in quarantine?
4042,Quand dois-je être testée ? ,When should I be tested? 
4043,Le covid-19 est viable combien de temps sur un surface comme un comptoir???,How long does covid-19 last on a surface like a counter ???
4047,"Si un membre de la famille l’attrape, est-ce que tous les autres auront le virus aussi?","If one family member catches it, will everyone else get the virus too?"
4048,Les animaux domestiques peuvent-ils être un vecteur de la maladie?,Can pets be a vector of the disease?
4049,Est-ce que je vais perdre mon emploi?,Will I lose my job?
4053,Bonjour!,Hello!
4054,"J'ai le nez bouché et mal à la tête, est-ce le coronavirus&","I have a stuffy nose and a headache, is it coronavirus &"
4055,Est-ce que la C,Is the C
4058,est-ce que les douleurs abdominales font partie des symptômes du covid?,are abdominal pain one of the symptoms of covid?
4059,Dois je continuer à allaiter ?,Should I continue to breastfeed?
4060,est-ce qu'on reste immunisé si on guérit du virus?,do we stay immune if we recover from the virus?
4061,La covid19 se transmet elle par la nourriture ?,Is covid19 spread through food?
4062,Un mal de gorge peut-il être un signe de la COVID? ,Can a sore throat be a sign of COVID? 
4065,Suis-je atteint du covid-19?,Do I have covid-19?
4067,Qu'est-ce que le coronavirus,What is coronavirus
4068,Peut on porter le virus après en être guéri ?,Can we carry the virus after being cured?
4072,Est-ce qu’une toux creuse et des sécrétions peuvent être des symptômes du Covid-19?,Can a hollow cough and secretions be symptoms of Covid-19?
4073,Quels sont les symptômes?,What are the symptoms?
4074,Comment reconnaître une insuffisance respiratoire ?,How to recognize respiratory failure?
4079,Est ce que je peux continuer à allaiter mon garçon si je contracte la maladie?,Can I continue to breastfeed my boy if I get the disease?
4082,Quels sont les symptômes ?,What are the symptoms ?
4083,Quand est-ce qu'on retrouvera une vie normale?,When will we get back to normal life?
4085,Est-ce que vous avez pris les transports publics pendant les 14 derniers jours ?,Have you taken public transport during the past 14 days?
4086,Est ce qu'il y a des cas dans ma région?,Are there cases in my area?
4087,Est ce que le covid-19 virus peut se transmettrre par les système d'aération,Can covid-19 virus be transmitted through aeration systems
4088,"Suis-je plus à risque avec de l'hypothyroidie(Hashimoto), hypertension artérielle sous médication dans les 2 cas, bronche fragile et apnée du sommeil?","Am I more at risk with hypothyroidism (Hashimoto), high blood pressure under medication in both cases, fragile bronchus and sleep apnea?"
4089,"Si on me demande de passer le test de COVID19 et que je n'ai pas de voiture, comment devrais-je me rendre à la clinique de dépistage? Taxi? Transports en commun? ","If I am asked to take the COVID19 test and I do not have a car, how should I get to the screening clinic? Taxi? Public transport?"
4091,Devient on immunisé après l’avoi contracté ,Become one immune after contracted avoi 
4092,"Bonjour. Que dois-je faire si ma colocataire revient de voyage, mais que je travaille dans une entreprise nommée essentielle? Dois-je moi aussi être en quarantaine?","Hello. What should I do if my roommate returns from travel, but I work in a company named Essential? Do I also have to be in quarantine?"
4093,"Si on ne veut pas utiliser de produits chimiques, quelles sont les solutions écologiques efficaces pour nettoyer les surfaces du COVID19 ?","If you do not want to use chemicals, what are the effective ecological solutions for cleaning the surfaces of COVID19?"
4094,Combien de temps suis-je contagieux si je suis asymptomatique?,How long am I contagious if I am asymptomatic?
4096,Combien de temps le virus est-il contagieux? ,How long is the virus contagious? 
4098,Quel le symptome le plus fréquent de la maladie?,What is the most common symptom of the disease?
4099,Quand devrais-je consulterÉ,When should i consult
4100,"Mes vacances sont prévues en juillet, à l'étranger dans un pays gravement touché par la COVID19. Dois-je dès maintenant commencer les démarches pour annuler mes réservations? ","My holidays are planned for July, abroad in a country seriously affected by COVID19. Do I have to start now to cancel my reservations?"
4102,Comment ça se transmet? ,How is it transmitted? 
4104,Comment attrape-t-on la COVID?,How do you get COVID?
4105,Quels sont les symptômes?,What are the symptoms?
4106,combien de temps reste le virus actif sur les emballage plastique ?,how long does the active virus remain on plastic packaging?
4108,Doit-on craindre la transmission par nos animaux? ,Should we fear transmission by our animals? 
4111,Quand devrais-je consulter?,When should I consult?
4116,Quels sont les principaux symptômes ? ,What are the main symptoms? 
4118,"Comment se fera la sortie du confinement? Sera-t-on soudainement tous libérés? Y aura-t-il des alternances entre la ""vie active"" et deux semaines d'isolement? Autre chose?","How will the containment be released? Will we all suddenly be released? Will there be alternations between ""working life"" and two weeks of isolation? Something else?"
4119,"Si j’attrape le virus et que je guéris, est ce que je suis immunisé par la suite?","If I get the virus and get well, am I immune afterwards?"
4122,Quels sont les symptômes les plus modérés ? ,What are the most moderate symptoms? 
4123,"Ce n'est pas de distance sociale dont il faudrait parler, à mon avis, mais bien de distance physique, non? la proximité sociale doit au contraire être accentuée, non? on fait appel à cette solidarité sociale qui suppose que nous soyons proches les uns des autres tout en étant éloignés physiquement. Qu'aurions-nous fait si cette pandémie était survenue dans les années 70? nous aurions été à distance physique ET sociale.","It's not social distance that I think should be talked about, but physical distance, right? on the contrary, social proximity must be accentuated, right? we appeal to this social solidarity which supposes that we are close to each other while being physically distant. What would we have done if this pandemic had occurred in the 1970s? we would have been physically AND socially distant."
4124,Quels sont les symptômes secondaires ?,What are the secondary symptoms?
4125,Quel est le risque de fatalité pour une personne de 50 ans?,What is the risk of fatality for a 50 year old person?
4126,Quels sont les effets psychologiques du coronavirus ?,What are the psychological effects of coronavirus?
4128,"Pour les mamies ou gardienne à la maison des parents, est-ce qu'on peux retourner garder","For grandmas or babysitter at the parents' house, can we go back to babysit"
4131,est ce que je dois désinfecter l'argent : piece et papier,do I have to disinfect the money: coin and paper
4133,Quel sont les probabilités de contracter le covid-19 si je n'ai pas voyager dans la dernière année ?,What are the probabilities of contracting covid-19 if I haven't traveled in the past year?
4135,Qu'elle sont les premières étapes que je peux suivre à la maison ? ,What are the first steps I can take at home? 
4137,Est-ce qu'un mal de gorge sans toucher est un symptôme ?,Is a sore throat without touching a symptom?
4138,Est-ce qu'un mal de gorge sans toux est un symptôme ?,Is a sore throat without a cough a symptom?
4139,Est-on immunisé une fois qu'on a eu le virus? ,Are we immune once we have the virus? 
4140,Est-ce ok si je permet à ma fille de 6 ans de jouer uniquement avec sa cousine? ,Is it ok if I allow my 6 year old daughter to play only with her cousin? 
4142,Quels sont les traitements?,What are the treatments?
4143,"Mon fils est en garde partagée, est-il possible de la maintenir malgré le confinement (tant que personne ne développe la maladie évidemment) ","My son is in shared custody, is it possible to maintain it despite confinement (as long as no one develops the disease obviously) "
4147,Est-ce que la COVID-19 est immunisante? (une fois guéri est-ce que je ne suis plus un vecteur de propagation),"Is COVID-19 immunizing? (once cured, am I no longer a vector of propagation)"
4148,Quels sont les symptônes du COVID-19?,What are the symptoms of COVID-19?
4151,Puis-je habiter dans une maison où quelqu'un est testé positif?,Can I live in a house where someone has tested positive?
4152,Combien de gens sont affectés en Outaouais?,How many people are affected in Outaouais?
4153,"J'ai de la toux, dois-je me faire diagnostiquer ?","I have a cough, should I be diagnosed?"
4154,Est ce que je peux continuer à habiter dans la même maison que mes enfants si je suis contaminée?,Can I continue to live in the same house as my children if I am contaminated?
4155,Combien de temps le virus peut vivre sur les produits en épicerie?,How long can the virus live on grocery products?
4156,Quels sont les symptômes de Covid19?,What are the symptoms of Covid19?
4159,Si j'ai des problèmes d'arthrite suis-je + à risque?,If I have arthritis problems am I + at risk?
4160,"J'ai deux enfants, est-ce qu'ils peuvent attraper le virus à l'école?","I have two children, can they get the virus at school?"
4162,Combien de temps dure en moyenne la maladie? ,How long does the disease last on average? 
4163,comment je peux savoir si je suis contaminé ?,how do i know if i'm infected?
4164,Devrais-je nettoyer mes emplettes pour ma sécurité ou es-ce une précaution superficielle ?,Should I clean my shopping for my safety or is it a superficial precaution?
4167,Est-ce sécuritaire de se faire livrer de la nourriture? (Take-out),Is it safe to have food delivered? (Take-out)
4169,Est-ce que le confinement est obligatoire pour tous?,Is containment mandatory for everyone?
4170,Peut-on être contagieux si nous sommes asymptomatique?,Can we be contagious if we are asymptomatic?
